datetime,region,respiratory_illness_cases,hospital_admissions
2021-10-09 23:00:00,Abu Dhabi,8,12
2022-05-13 17:00:00,Abu Dhabi,13,48
2020-06-16 08:00:00,Abu Dhabi,32,41
2023-01-22 13:00:00,Fujairah,99,44
2023-04-25 19:00:00,Fujairah,4,6
2020-02-23 19:00:00,Ajman,45,22
2020-02-25 02:00:00,Sharjah,69,44
2020-04-09 02:00:00,Dubai,41,34
2022-08-15 21:00:00,Ajman,7,31
2021-03-14 01:00:00,Fujairah,36,12
2021-04-07 16:00:00,Fujairah,17,3
2022-04-01 10:00:00,Ajman,96,25
2022-03-21 21:00:00,Abu Dhabi,38,20
2020-05-10 09:00:00,Fujairah,15,24
2020-05-24 18:00:00,Abu Dhabi,44,33
2021-06-09 08:00:00,Fujairah,77,6
2023-03-19 06:00:00,Abu Dhabi,28,16
2020-04-28 15:00:00,Dubai,22,37
2023-04-03 09:00:00,Ajman,11,22
2022-03-16 02:00:00,Dubai,97,0
2021-10-17 10:00:00,Fujairah,20,19
2020-02-02 09:00:00,Ajman,22,28
2021-10-22 22:00:00,Abu Dhabi,19,37
2021-11-15 20:00:00,Fujairah,74,3
2020-10-31 17:00:00,Dubai,77,23
2022-08-18 12:00:00,Sharjah,5,20
2021-05-09 00:00:00,Abu Dhabi,76,3
2022-01-04 20:00:00,Abu Dhabi,59,38
2022-08-14 09:00:00,Ajman,21,36
2020-04-17 02:00:00,Sharjah,53,12
2022-05-25 18:00:00,Dubai,72,22
2021-06-29 01:00:00,Sharjah,14,49
2021-03-02 05:00:00,Dubai,79,23
2022-05-07 04:00:00,Ajman,90,1
2021-10-11 04:00:00,Sharjah,32,6
2021-09-06 13:00:00,Ajman,15,10
2022-11-29 00:00:00,Ajman,56,49
2021-06-04 22:00:00,Dubai,1,1
2022-06-02 20:00:00,Abu Dhabi,77,17
2020-04-26 23:00:00,Dubai,47,7
2021-12-14 08:00:00,Abu Dhabi,49,45
2023-03-25 20:00:00,Ajman,54,42
2022-12-23 20:00:00,Fujairah,91,41
2020-03-04 13:00:00,Sharjah,83,13
2020-09-08 04:00:00,Ajman,0,22
2022-12-14 23:00:00,Dubai,13,27
2023-03-05 12:00:00,Ajman,8,16
2021-09-21 09:00:00,Ajman,93,49
2020-06-26 09:00:00,Fujairah,79,46
2020-12-24 18:00:00,Dubai,94,3
2022-09-06 14:00:00,Fujairah,49,18
2020-12-10 11:00:00,Fujairah,56,40
2022-05-06 22:00:00,Abu Dhabi,38,48
2021-12-05 04:00:00,Ajman,52,48
2022-05-29 10:00:00,Dubai,76,33
2020-09-04 00:00:00,Sharjah,32,26
2022-07-16 04:00:00,Abu Dhabi,53,13
2022-11-23 01:00:00,Abu Dhabi,26,19
2021-04-24 07:00:00,Ajman,54,13
2022-02-18 02:00:00,Abu Dhabi,9,18
2023-04-11 16:00:00,Fujairah,86,36
2022-03-12 12:00:00,Ajman,42,31
2023-02-21 20:00:00,Ajman,85,16
2020-04-12 10:00:00,Ajman,73,1
2022-06-01 11:00:00,Sharjah,86,18
2021-06-16 00:00:00,Ajman,22,3
2020-01-12 21:00:00,Dubai,42,30
2021-12-06 00:00:00,Abu Dhabi,7,46
2020-01-26 23:00:00,Fujairah,51,16
2022-12-03 21:00:00,Fujairah,25,9
2023-02-03 22:00:00,Abu Dhabi,43,2
2021-07-04 14:00:00,Abu Dhabi,84,13
2020-12-06 07:00:00,Sharjah,46,15
2022-07-30 11:00:00,Abu Dhabi,74,32
2022-05-08 01:00:00,Dubai,64,26
2020-01-08 15:00:00,Dubai,40,2
2022-12-15 10:00:00,Sharjah,78,18
2020-09-25 14:00:00,Abu Dhabi,81,8
2020-02-05 04:00:00,Fujairah,78,29
2020-02-29 23:00:00,Fujairah,31,31
2023-01-03 10:00:00,Abu Dhabi,56,43
2023-05-21 02:00:00,Dubai,12,41
2020-06-01 17:00:00,Abu Dhabi,35,3
2023-04-17 16:00:00,Ajman,93,31
2021-11-24 14:00:00,Abu Dhabi,40,8
2022-01-05 17:00:00,Ajman,79,41
2021-03-30 12:00:00,Dubai,82,39
2022-10-24 03:00:00,Sharjah,95,41
2020-03-18 04:00:00,Dubai,77,17
2022-08-14 17:00:00,Abu Dhabi,90,32
2020-10-14 12:00:00,Ajman,83,23
2020-07-28 21:00:00,Abu Dhabi,37,9
2023-01-10 17:00:00,Sharjah,29,32
2022-09-05 23:00:00,Sharjah,46,0
2020-08-08 11:00:00,Abu Dhabi,34,16
2020-08-08 02:00:00,Sharjah,78,19
2020-02-09 21:00:00,Fujairah,31,17
2023-01-02 18:00:00,Ajman,52,44
2020-02-02 05:00:00,Sharjah,18,21
2021-10-08 05:00:00,Sharjah,88,30
2023-01-23 18:00:00,Abu Dhabi,39,39
2022-12-27 11:00:00,Abu Dhabi,99,27
2021-10-05 12:00:00,Ajman,91,33
2022-03-19 21:00:00,Fujairah,17,45
2022-05-15 03:00:00,Dubai,91,39
2020-09-05 11:00:00,Ajman,80,1
2020-12-27 12:00:00,Fujairah,21,34
2022-08-06 12:00:00,Sharjah,99,39
2023-04-17 20:00:00,Fujairah,34,3
2022-11-25 02:00:00,Ajman,95,2
2022-07-08 06:00:00,Dubai,99,12
2021-07-21 13:00:00,Sharjah,36,36
2022-06-25 08:00:00,Fujairah,93,44
2023-04-07 18:00:00,Fujairah,65,2
2022-08-20 10:00:00,Dubai,5,44
2022-04-27 13:00:00,Fujairah,81,33
2021-04-03 03:00:00,Sharjah,94,30
2023-05-16 00:00:00,Sharjah,80,3
2023-03-08 17:00:00,Dubai,95,7
2020-09-19 00:00:00,Ajman,90,3
2020-05-07 15:00:00,Dubai,66,18
2022-10-19 17:00:00,Fujairah,90,33
2020-11-05 13:00:00,Ajman,55,13
2023-05-02 03:00:00,Abu Dhabi,28,8
2022-02-12 22:00:00,Dubai,78,48
2020-03-20 11:00:00,Sharjah,39,24
2020-04-21 19:00:00,Dubai,65,35
2020-07-23 05:00:00,Sharjah,26,49
2021-11-23 13:00:00,Abu Dhabi,44,29
2020-05-13 13:00:00,Fujairah,80,36
2023-04-10 02:00:00,Abu Dhabi,93,46
2021-06-12 10:00:00,Abu Dhabi,40,28
2023-01-03 18:00:00,Fujairah,83,27
2020-06-03 14:00:00,Abu Dhabi,36,33
2023-01-19 15:00:00,Sharjah,6,25
2023-01-31 09:00:00,Fujairah,81,21
2021-12-15 00:00:00,Sharjah,24,48
2023-01-19 21:00:00,Abu Dhabi,79,31
2023-04-21 09:00:00,Fujairah,51,45
2022-07-21 17:00:00,Abu Dhabi,88,21
2020-03-13 14:00:00,Ajman,9,12
2022-02-09 01:00:00,Dubai,17,4
2023-04-03 13:00:00,Abu Dhabi,56,31
2021-06-22 20:00:00,Ajman,83,33
2023-01-26 18:00:00,Dubai,40,46
2021-12-11 17:00:00,Abu Dhabi,35,39
2021-07-14 01:00:00,Ajman,95,14
2020-05-01 20:00:00,Dubai,80,3
2021-11-26 11:00:00,Dubai,40,5
2022-12-01 18:00:00,Fujairah,13,19
2022-05-23 08:00:00,Ajman,71,7
2020-02-22 07:00:00,Sharjah,23,31
2022-10-11 21:00:00,Sharjah,56,3
2021-09-29 15:00:00,Sharjah,55,2
2020-07-19 21:00:00,Dubai,71,33
2023-03-27 23:00:00,Sharjah,91,12
2020-08-20 16:00:00,Dubai,55,9
2023-02-14 15:00:00,Dubai,56,37
2021-09-17 03:00:00,Dubai,12,47
2022-07-25 10:00:00,Sharjah,98,34
2021-06-11 12:00:00,Abu Dhabi,91,28
2022-03-01 13:00:00,Dubai,35,18
2020-01-26 22:00:00,Dubai,9,11
2020-04-11 00:00:00,Dubai,77,32
2021-11-07 23:00:00,Abu Dhabi,15,37
2022-08-31 15:00:00,Fujairah,93,4
2022-09-21 14:00:00,Dubai,2,17
2021-12-22 11:00:00,Sharjah,94,7
2020-08-13 07:00:00,Abu Dhabi,11,14
2021-12-27 07:00:00,Fujairah,48,7
2021-09-11 06:00:00,Abu Dhabi,53,28
2022-12-15 00:00:00,Fujairah,2,7
2020-01-06 11:00:00,Sharjah,34,18
2023-03-08 20:00:00,Dubai,71,44
2020-09-27 16:00:00,Sharjah,48,2
2023-03-25 07:00:00,Sharjah,89,32
2022-06-19 23:00:00,Abu Dhabi,98,25
2020-11-11 18:00:00,Fujairah,76,22
2020-06-12 01:00:00,Ajman,20,29
2022-10-14 02:00:00,Sharjah,41,28
2023-04-25 21:00:00,Sharjah,10,38
2020-05-16 00:00:00,Dubai,43,15
2021-02-27 08:00:00,Abu Dhabi,9,48
2021-06-20 21:00:00,Fujairah,0,38
2021-02-14 13:00:00,Abu Dhabi,59,21
2021-11-16 14:00:00,Ajman,21,12
2021-06-19 20:00:00,Sharjah,85,13
2022-10-15 16:00:00,Fujairah,65,23
2021-06-10 19:00:00,Fujairah,94,40
2021-05-30 18:00:00,Abu Dhabi,36,12
2022-02-17 06:00:00,Dubai,0,38
2021-09-10 18:00:00,Abu Dhabi,86,9
2021-11-19 06:00:00,Ajman,59,43
2021-01-18 05:00:00,Dubai,36,19
2022-01-11 23:00:00,Fujairah,54,2
2020-12-15 09:00:00,Fujairah,12,34
2021-09-22 13:00:00,Abu Dhabi,51,36
2023-01-01 08:00:00,Abu Dhabi,75,43
2021-04-09 07:00:00,Abu Dhabi,39,12
2020-04-30 05:00:00,Fujairah,72,45
2020-08-14 16:00:00,Ajman,44,31
2020-06-28 17:00:00,Fujairah,96,14
2020-09-30 22:00:00,Ajman,52,34
2020-05-26 09:00:00,Fujairah,42,46
2023-02-14 01:00:00,Sharjah,26,47
2021-12-04 23:00:00,Abu Dhabi,41,35
2023-05-19 00:00:00,Fujairah,19,14
2023-03-16 04:00:00,Dubai,62,6
2023-02-17 09:00:00,Ajman,45,47
2020-03-23 13:00:00,Abu Dhabi,19,41
2021-02-14 05:00:00,Sharjah,98,1
2023-04-04 10:00:00,Abu Dhabi,60,37
2021-03-16 09:00:00,Dubai,49,44
2022-03-24 23:00:00,Sharjah,42,25
2022-06-30 16:00:00,Ajman,79,31
2023-05-26 10:00:00,Ajman,34,44
2020-03-27 19:00:00,Abu Dhabi,68,19
2022-08-01 12:00:00,Dubai,40,8
2023-03-12 03:00:00,Sharjah,25,43
2023-02-18 08:00:00,Abu Dhabi,28,25
2021-04-23 04:00:00,Dubai,1,33
2020-04-17 20:00:00,Fujairah,4,25
2020-10-16 21:00:00,Abu Dhabi,93,33
2021-12-24 03:00:00,Abu Dhabi,97,15
2022-02-14 06:00:00,Fujairah,83,6
2020-03-03 22:00:00,Sharjah,65,26
2022-12-14 12:00:00,Abu Dhabi,34,41
2022-12-23 07:00:00,Dubai,99,15
2022-07-31 17:00:00,Ajman,73,14
2020-02-22 21:00:00,Sharjah,7,44
2022-12-31 01:00:00,Fujairah,86,46
2020-08-27 22:00:00,Ajman,21,37
2023-04-03 12:00:00,Dubai,31,33
2023-06-01 12:00:00,Dubai,19,36
2022-02-05 08:00:00,Ajman,39,34
2022-07-16 16:00:00,Abu Dhabi,56,41
2020-06-15 16:00:00,Sharjah,36,34
2022-09-29 14:00:00,Sharjah,24,16
2021-08-24 00:00:00,Dubai,81,3
2023-05-05 06:00:00,Ajman,7,31
2022-09-21 12:00:00,Abu Dhabi,74,10
2020-03-27 16:00:00,Ajman,82,11
2021-03-25 16:00:00,Sharjah,82,40
2022-09-18 02:00:00,Ajman,6,13
2021-06-10 22:00:00,Ajman,1,26
2020-07-07 04:00:00,Sharjah,15,31
2021-06-22 14:00:00,Dubai,16,26
2021-01-31 10:00:00,Fujairah,71,32
2020-10-08 02:00:00,Ajman,80,48
2021-03-11 12:00:00,Dubai,55,23
2023-02-08 22:00:00,Fujairah,30,9
2022-08-10 23:00:00,Fujairah,28,3
2022-04-10 00:00:00,Ajman,31,12
2022-07-24 19:00:00,Dubai,12,45
2021-05-03 17:00:00,Sharjah,38,8
2021-04-22 17:00:00,Dubai,22,20
2020-02-23 00:00:00,Fujairah,75,36
2022-01-30 21:00:00,Ajman,58,49
2020-05-20 23:00:00,Dubai,18,5
2023-04-27 20:00:00,Ajman,87,39
2022-01-15 18:00:00,Sharjah,94,36
2021-09-26 20:00:00,Sharjah,82,29
2020-05-14 00:00:00,Ajman,25,13
2023-02-02 18:00:00,Dubai,72,41
2021-07-31 23:00:00,Fujairah,39,18
2022-10-03 06:00:00,Ajman,45,0
2021-01-06 20:00:00,Fujairah,38,31
2020-11-14 14:00:00,Fujairah,58,47
2023-04-20 18:00:00,Sharjah,65,20
2021-02-12 08:00:00,Dubai,46,28
2020-09-10 20:00:00,Dubai,87,36
2021-04-09 15:00:00,Dubai,87,21
2022-03-04 01:00:00,Abu Dhabi,61,19
2021-02-02 16:00:00,Sharjah,23,32
2021-05-01 08:00:00,Ajman,90,48
2023-03-01 08:00:00,Sharjah,98,9
2022-02-08 02:00:00,Ajman,57,20
2022-05-29 23:00:00,Dubai,84,42
2022-08-03 03:00:00,Abu Dhabi,43,32
2021-10-27 01:00:00,Abu Dhabi,2,40
2020-05-14 15:00:00,Ajman,29,24
2021-06-05 13:00:00,Sharjah,66,18
2020-11-24 13:00:00,Dubai,32,40
2020-04-05 14:00:00,Abu Dhabi,25,48
2020-08-25 10:00:00,Fujairah,79,23
2021-09-11 15:00:00,Abu Dhabi,32,9
2022-12-08 12:00:00,Fujairah,45,44
2022-04-10 12:00:00,Fujairah,52,4
2021-04-11 13:00:00,Abu Dhabi,92,46
2021-05-02 17:00:00,Dubai,58,6
2022-02-02 19:00:00,Sharjah,37,12
2021-03-21 18:00:00,Fujairah,79,49
2023-04-27 14:00:00,Fujairah,12,32
2023-01-17 16:00:00,Dubai,89,31
2021-10-06 19:00:00,Ajman,85,31
2021-09-27 22:00:00,Fujairah,98,3
2022-07-09 04:00:00,Ajman,72,2
2023-05-31 04:00:00,Dubai,6,14
2021-10-01 16:00:00,Sharjah,93,15
2022-08-14 03:00:00,Dubai,77,16
2020-12-03 08:00:00,Abu Dhabi,89,39
2023-05-27 15:00:00,Fujairah,28,27
2021-02-24 20:00:00,Ajman,52,21
2021-11-15 06:00:00,Dubai,53,0
2021-05-07 05:00:00,Abu Dhabi,2,14
2021-04-19 22:00:00,Fujairah,75,38
2022-12-31 22:00:00,Abu Dhabi,75,26
2020-05-12 11:00:00,Ajman,1,25
2021-12-16 00:00:00,Abu Dhabi,25,28
2021-10-25 17:00:00,Sharjah,33,34
2023-02-03 06:00:00,Sharjah,74,20
2020-10-16 20:00:00,Sharjah,18,46
2020-04-25 12:00:00,Fujairah,65,48
2021-07-27 15:00:00,Abu Dhabi,1,44
2020-05-31 15:00:00,Ajman,23,47
2020-08-22 16:00:00,Sharjah,87,48
2020-09-15 06:00:00,Ajman,2,20
2021-04-13 18:00:00,Ajman,84,13
2023-01-08 04:00:00,Abu Dhabi,86,0
2023-01-16 06:00:00,Ajman,36,2
2020-07-28 19:00:00,Dubai,99,49
2020-03-13 22:00:00,Abu Dhabi,10,33
2022-06-30 19:00:00,Sharjah,57,25
2023-03-23 16:00:00,Fujairah,76,42
2023-05-23 04:00:00,Dubai,4,18
2020-12-02 15:00:00,Dubai,45,47
2020-11-08 02:00:00,Sharjah,55,32
2022-05-12 02:00:00,Dubai,53,38
2022-04-08 10:00:00,Abu Dhabi,83,43
2021-10-26 21:00:00,Ajman,97,44
2020-10-16 05:00:00,Fujairah,27,2
2020-02-24 23:00:00,Fujairah,2,9
2023-02-02 00:00:00,Fujairah,70,49
2023-04-27 20:00:00,Fujairah,56,39
2021-10-13 23:00:00,Sharjah,44,8
2020-09-03 23:00:00,Dubai,75,12
2020-11-24 07:00:00,Ajman,99,14
2021-03-04 20:00:00,Dubai,29,32
2022-01-24 18:00:00,Fujairah,0,37
2021-02-05 04:00:00,Sharjah,89,33
2021-07-19 03:00:00,Fujairah,55,33
2022-04-30 16:00:00,Sharjah,12,45
2020-05-28 15:00:00,Sharjah,20,36
2023-04-10 20:00:00,Abu Dhabi,64,47
2022-11-04 01:00:00,Abu Dhabi,76,38
2021-07-05 05:00:00,Dubai,85,13
2022-01-14 17:00:00,Ajman,40,19
2020-01-31 11:00:00,Ajman,7,26
2022-01-21 16:00:00,Abu Dhabi,10,19
2021-10-28 14:00:00,Dubai,79,2
2021-10-19 03:00:00,Sharjah,97,4
2023-03-28 20:00:00,Abu Dhabi,65,12
2023-05-24 01:00:00,Dubai,31,46
2020-11-04 19:00:00,Fujairah,67,7
2020-06-30 16:00:00,Ajman,42,40
2021-06-05 23:00:00,Sharjah,11,46
2021-06-27 02:00:00,Abu Dhabi,98,17
2020-11-19 21:00:00,Abu Dhabi,26,17
2020-06-06 11:00:00,Abu Dhabi,9,47
2021-11-06 06:00:00,Dubai,3,49
2021-11-11 13:00:00,Fujairah,72,33
2022-07-22 23:00:00,Dubai,24,20
2022-05-09 16:00:00,Fujairah,97,30
2022-07-14 15:00:00,Ajman,10,25
2023-04-11 08:00:00,Ajman,24,21
2020-10-29 17:00:00,Abu Dhabi,93,34
2022-12-30 10:00:00,Ajman,68,5
2023-01-05 07:00:00,Sharjah,38,28
2021-06-03 14:00:00,Ajman,44,34
2021-07-28 10:00:00,Ajman,72,3
2020-03-16 01:00:00,Abu Dhabi,72,34
2021-12-26 06:00:00,Abu Dhabi,74,32
2021-05-10 07:00:00,Fujairah,56,6
2022-12-27 18:00:00,Sharjah,59,20
2020-01-05 11:00:00,Dubai,35,31
2020-05-29 21:00:00,Dubai,50,5
2020-08-30 04:00:00,Dubai,2,9
2021-04-20 20:00:00,Sharjah,76,31
2020-04-28 09:00:00,Sharjah,27,43
2020-05-18 11:00:00,Dubai,10,0
2020-01-28 22:00:00,Fujairah,18,40
2023-02-02 18:00:00,Sharjah,27,25
2022-02-12 22:00:00,Dubai,1,3
2021-04-10 23:00:00,Dubai,36,37
2022-12-13 10:00:00,Abu Dhabi,12,24
2020-09-07 08:00:00,Sharjah,29,47
2023-05-25 20:00:00,Abu Dhabi,78,40
2022-03-12 09:00:00,Fujairah,62,13
2021-12-16 09:00:00,Abu Dhabi,95,46
2020-03-27 08:00:00,Dubai,78,31
2022-03-21 23:00:00,Sharjah,36,19
2022-08-16 23:00:00,Abu Dhabi,13,26
2022-04-23 20:00:00,Ajman,83,24
2021-06-10 13:00:00,Sharjah,81,4
2022-06-25 14:00:00,Abu Dhabi,86,33
2022-04-04 13:00:00,Sharjah,14,29
2021-02-05 10:00:00,Dubai,22,6
2023-05-27 20:00:00,Dubai,71,46
2022-10-04 21:00:00,Abu Dhabi,98,29
2020-01-23 13:00:00,Fujairah,54,32
2020-09-06 04:00:00,Sharjah,24,41
2020-01-11 06:00:00,Fujairah,22,3
2020-03-19 18:00:00,Dubai,70,10
2020-02-24 07:00:00,Ajman,66,8
2023-03-29 03:00:00,Fujairah,31,6
2021-04-15 01:00:00,Fujairah,84,38
2021-10-29 14:00:00,Ajman,37,35
2020-09-16 16:00:00,Fujairah,49,45
2021-03-31 22:00:00,Fujairah,33,31
2020-05-28 23:00:00,Sharjah,27,26
2021-07-11 12:00:00,Ajman,63,12
2020-05-24 08:00:00,Ajman,99,46
2022-09-17 12:00:00,Fujairah,60,18
2020-09-13 04:00:00,Sharjah,1,29
2021-09-24 10:00:00,Dubai,88,3
2022-11-30 07:00:00,Fujairah,11,3
2020-08-27 23:00:00,Abu Dhabi,59,46
2021-10-05 09:00:00,Dubai,74,26
2021-02-27 09:00:00,Sharjah,90,40
2020-05-12 14:00:00,Fujairah,11,17
2022-04-06 20:00:00,Sharjah,68,38
2021-06-25 06:00:00,Abu Dhabi,49,46
2023-03-03 09:00:00,Dubai,25,4
2021-10-23 09:00:00,Abu Dhabi,27,12
2023-03-01 08:00:00,Ajman,80,19
2022-05-23 01:00:00,Abu Dhabi,71,43
2020-02-17 05:00:00,Fujairah,15,29
2023-01-20 16:00:00,Dubai,35,30
2021-10-20 01:00:00,Ajman,61,1
2020-07-16 06:00:00,Sharjah,36,12
2021-07-14 16:00:00,Ajman,28,47
2020-04-18 08:00:00,Abu Dhabi,20,14
2023-03-30 12:00:00,Abu Dhabi,30,0
2020-01-05 00:00:00,Ajman,73,24
2021-08-06 07:00:00,Ajman,85,1
2023-02-05 07:00:00,Ajman,80,41
2020-11-05 12:00:00,Sharjah,88,43
2021-10-23 05:00:00,Abu Dhabi,47,24
2021-02-11 08:00:00,Dubai,31,30
2020-11-21 14:00:00,Fujairah,92,48
2020-03-14 09:00:00,Fujairah,72,26
2020-12-15 13:00:00,Fujairah,7,18
2020-11-07 00:00:00,Abu Dhabi,90,19
2022-07-04 15:00:00,Ajman,46,12
2021-12-11 02:00:00,Fujairah,61,8
2021-08-03 01:00:00,Abu Dhabi,92,22
2021-01-15 23:00:00,Ajman,0,40
2023-03-06 22:00:00,Abu Dhabi,63,19
2022-06-25 15:00:00,Dubai,64,33
2023-03-07 03:00:00,Dubai,46,46
2023-05-27 15:00:00,Dubai,38,40
2020-10-22 16:00:00,Sharjah,20,27
2023-01-28 15:00:00,Fujairah,70,43
2022-04-13 01:00:00,Dubai,95,43
2021-09-23 10:00:00,Sharjah,11,14
2020-09-10 01:00:00,Ajman,44,2
2020-03-20 18:00:00,Dubai,84,18
2022-11-20 05:00:00,Abu Dhabi,56,35
2022-08-23 05:00:00,Fujairah,32,33
2020-08-17 13:00:00,Sharjah,73,8
2022-04-01 23:00:00,Sharjah,30,28
2021-12-09 10:00:00,Fujairah,16,45
2021-12-12 01:00:00,Ajman,51,43
2021-08-23 19:00:00,Fujairah,16,23
2020-02-03 16:00:00,Sharjah,61,44
2021-12-23 07:00:00,Ajman,38,2
2020-03-03 03:00:00,Fujairah,30,10
2022-01-01 00:00:00,Sharjah,61,39
2020-09-06 08:00:00,Ajman,12,34
2022-06-11 12:00:00,Fujairah,11,48
2020-10-02 11:00:00,Fujairah,95,6
2021-05-26 03:00:00,Fujairah,86,21
2020-05-16 18:00:00,Dubai,37,4
2022-05-06 06:00:00,Sharjah,88,20
2021-05-16 16:00:00,Fujairah,36,47
2021-01-03 09:00:00,Abu Dhabi,92,34
2020-04-29 17:00:00,Fujairah,60,45
2022-07-30 06:00:00,Sharjah,6,23
2023-03-23 04:00:00,Abu Dhabi,40,21
2023-01-04 22:00:00,Abu Dhabi,79,34
2021-01-16 08:00:00,Sharjah,55,24
2022-09-22 15:00:00,Abu Dhabi,19,13
2023-03-22 17:00:00,Fujairah,83,28
2021-03-18 09:00:00,Fujairah,8,23
2022-12-25 12:00:00,Abu Dhabi,38,34
2020-07-06 01:00:00,Ajman,30,29
2020-01-03 07:00:00,Abu Dhabi,6,44
2021-11-06 10:00:00,Sharjah,26,31
2020-08-20 20:00:00,Sharjah,80,23
2020-09-23 04:00:00,Abu Dhabi,79,41
2022-12-20 03:00:00,Ajman,54,15
2020-03-30 11:00:00,Ajman,48,16
2020-09-21 07:00:00,Ajman,22,39
2020-10-17 16:00:00,Dubai,47,42
2021-04-20 22:00:00,Ajman,84,14
2020-05-03 12:00:00,Sharjah,86,36
2023-02-02 22:00:00,Ajman,72,13
2020-05-06 07:00:00,Fujairah,67,34
2020-05-27 21:00:00,Dubai,72,27
2021-05-01 06:00:00,Fujairah,15,23
2022-10-01 12:00:00,Fujairah,23,18
2020-02-08 09:00:00,Abu Dhabi,65,34
2022-12-09 11:00:00,Dubai,24,22
2022-05-28 19:00:00,Dubai,43,5
2022-08-22 20:00:00,Ajman,6,32
2020-10-07 03:00:00,Abu Dhabi,7,9
2021-11-01 20:00:00,Ajman,6,37
2021-03-26 05:00:00,Fujairah,59,36
2020-05-26 10:00:00,Dubai,1,47
2022-05-12 21:00:00,Abu Dhabi,5,48
2021-01-15 01:00:00,Fujairah,46,15
2022-06-28 17:00:00,Abu Dhabi,25,29
2020-02-05 22:00:00,Sharjah,81,25
2022-01-27 08:00:00,Abu Dhabi,20,9
2021-06-19 11:00:00,Dubai,91,20
2021-04-08 10:00:00,Ajman,76,32
2020-07-30 03:00:00,Abu Dhabi,44,19
2020-03-25 04:00:00,Ajman,75,0
2020-10-13 11:00:00,Sharjah,0,5
2022-06-07 17:00:00,Abu Dhabi,0,28
2020-09-13 17:00:00,Abu Dhabi,52,11
2022-04-14 23:00:00,Fujairah,52,9
2020-08-16 12:00:00,Dubai,30,45
2020-03-12 07:00:00,Sharjah,0,0
2022-12-13 12:00:00,Fujairah,83,20
2022-10-10 09:00:00,Fujairah,0,38
2021-12-22 21:00:00,Abu Dhabi,29,44
2021-07-09 02:00:00,Sharjah,85,35
2022-10-22 01:00:00,Ajman,62,19
2021-10-22 11:00:00,Abu Dhabi,56,22
2022-04-25 20:00:00,Fujairah,20,32
2021-06-17 09:00:00,Dubai,15,19
2020-01-02 23:00:00,Sharjah,61,14
2020-07-11 03:00:00,Ajman,62,8
2022-07-13 05:00:00,Ajman,31,10
2020-03-12 18:00:00,Sharjah,0,24
2020-05-18 03:00:00,Ajman,38,41
2022-10-31 11:00:00,Abu Dhabi,24,10
2021-04-02 07:00:00,Dubai,22,23
2021-11-29 15:00:00,Sharjah,97,10
2022-08-19 10:00:00,Abu Dhabi,98,7
2021-08-11 11:00:00,Abu Dhabi,81,22
2022-02-20 05:00:00,Fujairah,59,49
2021-12-31 06:00:00,Sharjah,63,1
2022-12-06 19:00:00,Ajman,12,46
2023-01-22 11:00:00,Sharjah,75,40
2022-06-10 13:00:00,Abu Dhabi,70,25
2020-04-15 11:00:00,Dubai,17,3
2022-10-10 08:00:00,Fujairah,78,38
2020-04-14 12:00:00,Sharjah,24,42
2021-05-19 04:00:00,Fujairah,36,25
2021-02-13 09:00:00,Abu Dhabi,26,21
2020-10-05 00:00:00,Ajman,96,31
2021-06-21 20:00:00,Sharjah,11,27
2020-12-19 01:00:00,Ajman,90,44
2022-07-08 01:00:00,Ajman,90,3
2023-04-09 21:00:00,Sharjah,74,25
2022-08-09 11:00:00,Ajman,29,33
2021-07-16 13:00:00,Fujairah,16,9
2020-04-07 01:00:00,Ajman,87,3
2022-10-15 19:00:00,Fujairah,40,7
2021-12-05 16:00:00,Ajman,17,26
2020-09-15 14:00:00,Fujairah,52,48
2022-04-08 20:00:00,Fujairah,15,25
2023-01-01 05:00:00,Dubai,38,47
2020-04-28 09:00:00,Abu Dhabi,76,9
2021-03-24 02:00:00,Sharjah,81,47
2023-01-26 23:00:00,Sharjah,54,17
2020-08-26 18:00:00,Sharjah,47,13
2022-05-05 02:00:00,Ajman,94,31
2020-04-05 21:00:00,Dubai,54,7
2021-09-27 00:00:00,Abu Dhabi,70,1
2022-12-10 20:00:00,Abu Dhabi,71,26
2021-07-23 22:00:00,Ajman,59,6
2021-03-18 07:00:00,Ajman,54,42
2020-03-10 19:00:00,Abu Dhabi,52,24
2022-12-10 20:00:00,Fujairah,1,44
2022-03-24 20:00:00,Dubai,29,8
2021-05-20 01:00:00,Fujairah,30,16
2020-06-27 01:00:00,Dubai,25,23
2022-05-04 08:00:00,Abu Dhabi,6,40
2021-04-04 03:00:00,Sharjah,30,14
2021-11-20 18:00:00,Ajman,38,7
2021-01-12 12:00:00,Ajman,26,32
2022-09-12 23:00:00,Abu Dhabi,0,17
2021-08-14 11:00:00,Sharjah,26,8
2020-06-25 02:00:00,Ajman,10,18
2020-12-29 23:00:00,Fujairah,22,36
2021-09-02 10:00:00,Abu Dhabi,91,12
2020-04-03 12:00:00,Abu Dhabi,65,28
2021-12-13 01:00:00,Ajman,4,48
2021-11-21 15:00:00,Abu Dhabi,77,21
2023-04-09 17:00:00,Abu Dhabi,26,3
2023-03-04 06:00:00,Dubai,19,19
2021-12-12 23:00:00,Dubai,62,9
2020-09-14 04:00:00,Fujairah,19,32
2022-07-06 23:00:00,Fujairah,91,4
2022-09-30 10:00:00,Dubai,56,0
2022-05-29 06:00:00,Sharjah,22,40
2022-05-05 13:00:00,Dubai,86,14
